Date,Open,High,Low,Close,Volume
2024-01-19,162.8300,171.5791,157.8850,171.4800,52329774
2023-12-29,158.4100,166.3400,158.0000,163.5500,87358302
2023-11-30,145.0000,158.6000,144.4500,158.5600,78460252
2023-10-31,140.0400,144.7600,135.8700,144.6400,94386980
2023-09-29,147.2600,151.9299,139.6100,140.3000,82806487
2023-08-31,144.2500,147.7275,139.7600,146.8300,84274205
2023-07-31,133.4200,144.6050,131.5500,144.1800,85778938
2023-06-30,128.4400,139.4690,127.7800,133.8100,100722016
2023-05-31,126.3500,130.0699,120.5500,128.5900,95710890
2023-04-28,130.9700,132.6100,124.5600,126.4100,83664114
2023-03-31,128.9000,131.4800,121.7100,131.0900,138093084
2023-02-28,134.4900,137.3900,128.8600,129.3000,76080679
2023-01-31,141.1000,147.1800,132.9800,134.7300,105576019
2022-12-30,149.9800,153.2100,137.1950,140.8900,86426226
2022-11-30,138.2500,150.4600,133.9700,148.9000,93620235
2022-10-31,120.1600,138.8615,115.5450,138.2900,113480787
2022-09-30,128.4000,130.9900,118.6100,118.8100,87256958
2022-08-31,130.7500,139.3400,128.4000,128.4500,77392342
2022-07-29,141.0000,141.8700,125.1300,130.7900,129801061
2022-06-30,139.6700,144.7300,132.8500,141.1900,105815743
2022-05-31,133.0000,139.8300,125.8000,138.8400,113207659
2022-04-29,129.6600,141.8800,124.9100,132.2100,107525264
2022-03-31,122.6700,133.0800,120.7000,130.0200,96447210
2022-02-28,133.7600,138.8200,118.8100,122.5100,98492968
2022-01-31,134.0700,142.2000,124.1930,133.5700,147238382
2021-12-31,118.2500,134.9900,116.5600,133.6600,113930079
2021-11-30,125.0500,127.2900,114.5600,117.1000,119252012
2021-10-29,141.0000,146.0000,124.6200,125.1000,144097758
2021-09-30,139.9800,140.5700,132.7800,138.9300,76644238
2021-08-31,141.4500,144.7000,137.2100,140.3400,69687056
2021-07-30,146.9600,147.5000,136.2089,140.9600,110625907
2021-06-30,145.0000,152.8400,143.0400,146.5900,84365220
2021-05-28,143.8100,148.5150,140.9200,143.7400,98036425
2021-04-30,133.7600,148.7400,130.3800,141.8800,122920494
2021-03-31,120.3500,137.0700,118.7550,133.2600,127967821
2021-02-26,119.9000,124.3500,118.1200,118.9300,106339228
2021-01-29,125.8500,132.2400,117.3600,119.1100,176168962
2020-12-31,123.9000,127.6900,121.7200,125.8800,102587006
2020-11-30,112.6500,125.3130,111.1600,123.5200,103461100
2020-10-30,122.3600,135.5000,105.9200,111.6600,159130911
2020-09-30,122.8500,129.9500,116.4800,121.6700,84510174
2020-08-31,123.5000,130.4700,122.1500,123.3100,74033007
2020-07-31,120.2700,132.1700,115.2000,122.9400,113972765
2020-06-30,124.6400,135.8800,115.8800,120.7700,120931250
2020-05-29,123.1900,126.9700,111.8100,124.9000,92864791
2020-04-30,106.3600,129.3100,104.5200,125.5600,130400316
2020-03-31,130.7500,136.1000,90.5600,110.9300,189585053
2020-02-28,144.2500,158.7500,126.3600,130.1500,118092333
2020-01-31,135.0000,145.7900,133.2000,143.7300,112864967
2019-12-31,134.4500,136.4200,130.6900,134.0400,71661951
2019-11-29,134.5000,139.1400,132.7500,134.4500,64898948
2019-10-31,145.5900,147.3500,130.9000,133.7300,92647927
2019-09-30,134.8500,146.5700,133.3300,145.4200,62083780
2019-08-30,148.9000,152.9500,128.8300,135.5300,96719129
2019-07-31,139.6000,151.9400,139.1300,148.2400,80175943
2019-06-28,127.1000,140.1500,127.0600,137.9000,61342985
2019-05-31,140.5500,141.8100,126.8500,126.9900,75537897
2019-04-30,141.5100,145.3900,136.2600,140.2700,80199229
2019-03-29,139.3100,142.1200,133.5800,141.1000,74688899
2019-02-28,134.9700,140.4900,132.1200,138.1300,68462024
2019-01-31,112.0100,135.4100,111.6900,134.4200,120388583
2018-12-31,125.6700,126.5900,105.9400,113.6700,115600988
2018-11-30,115.5000,125.0600,114.5400,124.2700,141719180
2018-10-31,151.7100,154.3600,114.0900,115.4300,198093801
2018-09-28,145.9800,153.3500,144.8100,151.2100,95868702
2018-08-31,144.7600,147.9300,142.0000,146.4800,79196876
2018-07-31,138.2800,150.5400,138.2000,144.9300,95015127
2018-06-29,142.4300,147.5200,137.4500,139.7000,90243111
2018-05-31,144.6500,146.2000,139.9000,141.3100,88812832
2018-04-30,153.3400,162.0000,144.1100,144.9600,122893135
2018-03-29,155.5300,162.1100,148.5400,153.4300,92113147
2018-02-28,163.1900,164.1300,144.4000,155.8300,100673819
2018-01-31,154.5000,171.1300,153.5400,163.7000,140197975
2017-12-29,154.4000,157.8500,151.4900,153.4200,87525752
2017-11-30,154.1000,154.9000,146.2110,153.9700,89208545
2017-10-31,145.3500,162.5100,145.2100,154.0600,121490046
2017-09-29,142.9800,147.4200,141.6400,145.0800,77056229
2017-08-31,145.0000,145.6700,139.1300,143.0300,79260314
2017-07-31,153.5800,156.0250,143.6400,144.6700,91242021
2017-06-30,152.8000,157.2000,150.8000,153.8300,82652760
2017-05-31,160.0500,160.4200,149.7900,152.6300,102455942
2017-04-28,173.8200,176.3300,159.6000,160.2900,80758989
2017-03-31,180.4800,182.5500,172.0937,174.1400,79476385
2017-02-28,175.0000,182.7900,172.8900,179.8200,59817600
2017-01-31,167.0000,179.2500,165.3400,174.5200,88671370
2016-12-30,161.9500,169.9520,158.3000,165.9900,69463793
2016-11-30,153.5000,164.6600,151.0000,162.2200,76340912
2016-10-31,158.0600,158.5300,147.7900,153.6900,78325840
2016-09-30,158.3200,165.0000,153.2100,158.8500,69951563
2016-08-31,160.6500,164.9500,157.8500,158.8800,69680582
2016-07-29,152.1900,163.6000,149.9200,160.6200,69930927
2016-06-30,153.0000,155.4800,142.5000,151.7800,77115961
2016-05-31,146.5600,153.8100,142.9000,153.7400,75248178
2016-04-29,150.5100,153.5200,142.6100,145.9400,94431134
2016-03-31,132.2400,153.1000,132.0300,151.4500,105698603
2016-02-29,124.4000,134.9200,116.9010,131.0300,106703104
2016-01-29,135.6000,136.8900,118.0000,124.7900,126204196
2015-12-31,139.5800,141.4000,133.9100,137.6200,97650594
2015-11-30,140.5000,142.8000,131.6500,139.4200,85421426
